model,precision,recall
SVM_RBF,0.3129139072847682,1.0
SVM_RBF,0.3131731565865783,1.0
SVM_RBF,0.31343283582089554,1.0
SVM_RBF,0.3136929460580913,1.0
SVM_RBF,0.313953488372093,1.0
SVM_RBF,0.314214463840399,1.0
SVM_RBF,0.3144758735440932,1.0
SVM_RBF,0.3147377185678601,1.0
SVM_RBF,0.315,1.0
SVM_RBF,0.31526271893244373,1.0
SVM_RBF,0.31552587646076796,1.0
SVM_RBF,0.3157894736842105,1.0
SVM_RBF,0.31605351170568563,1.0
SVM_RBF,0.3163179916317992,1.0
SVM_RBF,0.3165829145728643,1.0
SVM_RBF,0.316848281642917,1.0
SVM_RBF,0.31711409395973156,1.0
SVM_RBF,0.31738035264483627,1.0
SVM_RBF,0.3176470588235294,1.0
SVM_RBF,0.31791421362489486,1.0
SVM_RBF,0.3181818181818182,1.0
SVM_RBF,0.3184498736310025,1.0
SVM_RBF,0.31871838111298484,1.0
SVM_RBF,0.3189873417721519,1.0
SVM_RBF,0.31925675675675674,1.0
SVM_RBF,0.31952662721893493,1.0
SVM_RBF,0.3197969543147208,1.0
SVM_RBF,0.32006773920406434,1.0
SVM_RBF,0.32033898305084746,1.0
SVM_RBF,0.32061068702290074,1.0
SVM_RBF,0.32088285229202035,1.0
SVM_RBF,0.3211554800339847,1.0
SVM_RBF,0.32142857142857145,1.0
SVM_RBF,0.32170212765957445,1.0
SVM_RBF,0.3219761499148211,1.0
SVM_RBF,0.32225063938618925,1.0
SVM_RBF,0.3225255972696246,1.0
SVM_RBF,0.322801024765158,1.0
SVM_RBF,0.3230769230769231,1.0
SVM_RBF,0.32335329341317365,1.0
SVM_RBF,0.3236301369863014,1.0
SVM_RBF,0.32390745501285345,1.0
SVM_RBF,0.3241852487135506,1.0
SVM_RBF,0.3244635193133047,1.0
SVM_RBF,0.3247422680412371,1.0
SVM_RBF,0.3250214961306965,1.0
SVM_RBF,0.3253012048192771,1.0
SVM_RBF,0.32558139534883723,1.0
SVM_RBF,0.3258620689655172,1.0
SVM_RBF,0.3261432269197584,1.0
SVM_RBF,0.32642487046632124,1.0
SVM_RBF,0.3267070008643042,1.0
SVM_RBF,0.32698961937716264,1.0
SVM_RBF,0.32727272727272727,1.0
SVM_RBF,0.3275563258232236,1.0
SVM_RBF,0.32784041630529054,1.0
SVM_RBF,0.328125,1.0
SVM_RBF,0.32841007819287577,1.0
SVM_RBF,0.32869565217391306,1.0
SVM_RBF,0.3289817232375979,1.0
SVM_RBF,0.32926829268292684,1.0
SVM_RBF,0.3295553618134263,1.0
SVM_RBF,0.3298429319371728,1.0
SVM_RBF,0.33013100436681225,1.0
SVM_RBF,0.3304195804195804,1.0
SVM_RBF,0.33070866141732286,1.0
SVM_RBF,0.3309982486865149,1.0
SVM_RBF,0.3312883435582822,1.0
SVM_RBF,0.33157894736842103,1.0
SVM_RBF,0.33187006145741876,1.0
SVM_RBF,0.3321616871704745,1.0
SVM_RBF,0.3324538258575198,1.0
SVM_RBF,0.33274647887323944,1.0
SVM_RBF,0.33303964757709253,1.0
SVM_RBF,0.3333333333333333,1.0
SVM_RBF,0.33362753751103263,1.0
SVM_RBF,0.3339222614840989,1.0
SVM_RBF,0.33421750663129973,1.0
SVM_RBF,0.3345132743362832,1.0
SVM_RBF,0.33480956598759964,1.0
SVM_RBF,0.3351063829787234,1.0
SVM_RBF,0.33540372670807456,1.0
SVM_RBF,0.33570159857904086,1.0
SVM_RBF,0.336,1.0
SVM_RBF,0.33629893238434166,1.0
SVM_RBF,0.3365983971504898,1.0
SVM_RBF,0.33689839572192515,1.0
SVM_RBF,0.33719892952720787,1.0
SVM_RBF,0.3375,1.0
SVM_RBF,0.3378016085790885,1.0
SVM_RBF,0.33810375670840787,1.0
SVM_RBF,0.3384064458370636,1.0
SVM_RBF,0.3387096774193548,1.0
SVM_RBF,0.33901345291479823,1.0
SVM_RBF,0.3393177737881508,1.0
SVM_RBF,0.33962264150943394,1.0
SVM_RBF,0.33992805755395683,1.0
SVM_RBF,0.3402340234023402,1.0
SVM_RBF,0.34054054054054056,1.0
SVM_RBF,0.3408476104598738,1.0
SVM_RBF,0.34115523465703973,1.0
SVM_RBF,0.34146341463414637,1.0
SVM_RBF,0.34177215189873417,1.0
SVM_RBF,0.3420814479638009,1.0
SVM_RBF,0.3423913043478261,1.0
SVM_RBF,0.34270172257479603,1.0
SVM_RBF,0.3430127041742287,1.0
SVM_RBF,0.34332425068119893,1.0
SVM_RBF,0.34363636363636363,1.0
SVM_RBF,0.34394904458598724,1.0
SVM_RBF,0.3442622950819672,1.0
SVM_RBF,0.3445761166818596,1.0
SVM_RBF,0.3448905109489051,1.0
SVM_RBF,0.3452054794520548,1.0
SVM_RBF,0.34552102376599636,1.0
SVM_RBF,0.3458371454711802,1.0
SVM_RBF,0.34615384615384615,1.0
SVM_RBF,0.3464711274060495,1.0
SVM_RBF,0.3467889908256881,1.0
SVM_RBF,0.34710743801652894,1.0
SVM_RBF,0.3474264705882353,1.0
SVM_RBF,0.34774609015639374,1.0
SVM_RBF,0.34806629834254144,1.0
SVM_RBF,0.34838709677419355,1.0
SVM_RBF,0.34870848708487084,1.0
SVM_RBF,0.3490304709141274,1.0
SVM_RBF,0.34935304990757854,1.0
