model,fpr,tpr
SVM_RBF,0.0,0.0
SVM_RBF,0.0,0.0026455026455026454
SVM_RBF,0.0,0.6428571428571429
SVM_RBF,0.0,0.6507936507936508
SVM_RBF,0.0,0.7883597883597884
SVM_RBF,0.0012048192771084338,0.7883597883597884
SVM_RBF,0.0012048192771084338,0.8095238095238095
SVM_RBF,0.0012048192771084338,0.8148148148148148
SVM_RBF,0.0012048192771084338,0.9232804232804233
SVM_RBF,0.0024096385542168677,0.9232804232804233
SVM_RBF,0.0024096385542168677,0.9735449735449735
SVM_RBF,0.0036144578313253013,0.9735449735449735
SVM_RBF,0.0036144578313253013,0.9894179894179894
SVM_RBF,0.006024096385542169,0.9894179894179894
SVM_RBF,0.006024096385542169,0.9920634920634921
SVM_RBF,0.007228915662650603,0.9920634920634921
SVM_RBF,0.007228915662650603,0.9947089947089947
SVM_RBF,0.01566265060240964,0.9947089947089947
SVM_RBF,0.01566265060240964,0.9973544973544973
SVM_RBF,0.01927710843373494,0.9973544973544973
SVM_RBF,0.01927710843373494,1.0
SVM_RBF,1.0,1.0
XGBoost,0.0,0.0
XGBoost,0.0,0.0026455026455026454
XGBoost,0.0,0.37037037037037035
XGBoost,0.0,0.37566137566137564
XGBoost,0.0,0.6507936507936508
XGBoost,0.0,0.6587301587301587
XGBoost,0.0,0.7857142857142857
XGBoost,0.0012048192771084338,0.7857142857142857
XGBoost,0.0012048192771084338,0.9232804232804233
XGBoost,0.0024096385542168677,0.9232804232804233
XGBoost,0.0024096385542168677,0.9576719576719577
XGBoost,0.0024096385542168677,0.9629629629629629
XGBoost,0.0024096385542168677,0.9735449735449735
XGBoost,0.0036144578313253013,0.9735449735449735
XGBoost,0.0036144578313253013,0.9814814814814815
XGBoost,0.004819277108433735,0.9814814814814815
XGBoost,0.004819277108433735,0.9841269841269841
XGBoost,0.00963855421686747,0.9841269841269841
XGBoost,0.00963855421686747,0.9867724867724867
XGBoost,0.01325301204819277,0.9867724867724867
XGBoost,0.01325301204819277,0.9894179894179894
XGBoost,0.016867469879518072,0.9894179894179894
XGBoost,0.016867469879518072,0.9920634920634921
XGBoost,0.027710843373493974,0.9920634920634921
XGBoost,0.027710843373493974,0.9947089947089947
XGBoost,0.03493975903614458,0.9947089947089947
XGBoost,0.03493975903614458,0.9973544973544973
XGBoost,0.04819277108433735,0.9973544973544973
XGBoost,0.04819277108433735,1.0
XGBoost,0.6313253012048192,1.0
XGBoost,0.6337349397590362,1.0
XGBoost,0.6578313253012048,1.0
XGBoost,0.6638554216867469,1.0
