model,roc_auc,pr_auc
SVM_RBF,0.9995314591700133,0.9989063616076939
XGBoost,0.999273283610633,0.9983837165182062
SVM_Linear,0.9991362274494805,0.9977872168153443
MultinomialNB,0.9943902594505004,0.9867215751091609
RandomForest,0.9987473704341173,0.9972075779922686
