experiment,model,best_params,training_time,prediction_time,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_ovr,cv_test_accuracy,cv_test_accuracy_std,cv_test_precision_macro,cv_test_precision_macro_std,cv_test_recall_macro,cv_test_recall_macro_std,cv_test_f1_macro,cv_test_f1_macro_std,cv_test_roc_auc_ovr,cv_test_roc_auc_ovr_std,training_time_best
algorithm_comparison,MultinomialNB,{'model__alpha': 0.5},54.00195670127869,0.0063109397888183,0.8,0.7916666666666667,0.7916666666666667,0.7916666666666667,,0.9166666666666666,0.0874007373475126,0.9433333333333334,0.0589412764883326,0.902777777777778,0.0958232683925574,0.9074939874939876,0.0951391540319221,0.9616666666666668,0.0680277721065285,47.16708540916443
algorithm_comparison,SVM_Linear,{'model__C': 1.0},318.0182056427002,0.0067315101623535,0.7,0.7,0.7083333333333333,0.696969696969697,,0.9416666666666668,0.0772801541291308,0.95,0.0716860438920218,0.9366666666666668,0.0839311887467611,0.9373112073112072,0.081352213844218,0.9875,0.0467707173346742,285.9639265537262
