experiment,model,best_params,training_time,prediction_time,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_ovr,cv_test_accuracy,cv_test_accuracy_std,cv_test_precision_macro,cv_test_precision_macro_std,cv_test_recall_macro,cv_test_recall_macro_std,cv_test_f1_macro,cv_test_f1_macro_std,cv_test_roc_auc_ovr,cv_test_roc_auc_ovr_std,model_type,balance_strategy,imbalance_ratio,class_distribution
class_balancing_study,RandomForest_no_balance_ratio_0.1,{},16.623905181884766,1.3553128242492676,0.9868565169769989,0.9807000795544949,0.9385542168674699,0.958428194153538,,0.9858447488584474,0.0024842868509106124,0.9653328959143355,0.007346423212821569,0.947800919804474,0.013259965682471939,0.9562066956862633,0.007972942023747338,0.9955418113839551,0.00440623928417007,RandomForest,no_balance,0.1,"Counter({np.int64(0): 3319, np.int64(1): 331})"
class_balancing_study,SVM_no_balance_ratio_0.1,{},42.54822134971619,1.0020966529846191,0.9901423877327492,0.9886420801106709,0.9512048192771084,0.9689986530995688,,0.9873972602739726,0.003091563631015666,0.9683941650995274,0.011790900077001024,0.9545452196871747,0.011113465900490737,0.961221916719971,0.009446244535765326,0.9933662422385091,0.00789415337815157,SVM,no_balance,0.1,"Counter({np.int64(0): 3319, np.int64(1): 331})"
class_balancing_study,MultinomialNB_no_balance_ratio_0.1,{},6.422439098358154,0.4501779079437256,0.9452354874041621,0.8293471146503764,0.8506024096385543,0.8395362897556312,,0.9337899543378995,0.00626087178118817,0.7953294565070096,0.018271439138877153,0.8271099745942929,0.020964499269483145,0.8097487408190538,0.017286143030416933,0.9574400175035377,0.009564191492713722,MultinomialNB,no_balance,0.1,"Counter({np.int64(0): 3319, np.int64(1): 331})"
class_balancing_study,RandomForest_balanced_ratio_0.1,{},4.4742431640625,0.47461843490600586,0.9901423877327492,0.9946364719904648,0.9457831325301205,0.9686413543332328,,0.9853881278538811,0.00389602356305052,0.9639510505131529,0.016210703039683975,0.9466255188385148,0.012886969622360812,0.9548990891898065,0.011944669117573584,0.9932261332475005,0.005299518645021161,RandomForest,balanced,0.1,"Counter({np.int64(0): 3319, np.int64(1): 331})"
class_balancing_study,SVM_balanced_ratio_0.1,{},16.57641887664795,1.0743393898010254,0.9901423877327492,0.9776485594237695,0.9620481927710843,0.9696866849399968,,0.9849315068493151,0.0037431783619943696,0.9438119741792319,0.014076752731433573,0.9686010127804081,0.012159626525525614,0.955612776739896,0.010826535869052517,0.9971604520289163,0.0016224821275211568,SVM,balanced,0.1,"Counter({np.int64(0): 3319, np.int64(1): 331})"
class_balancing_study,RandomForest_balanced_subsample_ratio_0.1,{},4.4388511180877686,0.5101356506347656,0.9868565169769989,0.9866030658838878,0.9331325301204819,0.9579456471672041,,0.9855707762557077,0.003870250246651529,0.9674692938970766,0.01698161300495019,0.9440198150238929,0.012202375899079992,0.9551813757111967,0.01190279460005199,0.9937388959601161,0.004474618960506489,RandomForest,balanced_subsample,0.1,"Counter({np.int64(0): 3319, np.int64(1): 331})"
class_balancing_study,RandomForest_no_balance_ratio_0.3,{},8.412261247634888,0.5999903678894043,0.9768303985171455,0.9679845502891968,0.9666666666666667,0.9673235075716188,,0.9802203504206177,0.003548116431884017,0.9728731871313812,0.006062628432866814,0.9714284265159655,0.00611083764790623,0.9720912820616222,0.005017688587173736,0.9974540639649939,0.0008557893917884776,RandomForest,no_balance,0.3,"Counter({np.int64(0): 3319, np.int64(1): 995})"
class_balancing_study,SVM_no_balance_ratio_0.3,{},25.784792184829712,1.2122502326965332,0.9777571825764597,0.9752366009165172,0.9616465863453816,0.9682242073230587,,0.9822295648464545,0.003866754380771852,0.978985359973074,0.005736151990734872,0.9707404741943132,0.006894314018429268,0.9747386016910121,0.005559005025534953,0.9982707686365951,0.0008044322745694793,SVM,no_balance,0.3,"Counter({np.int64(0): 3319, np.int64(1): 995})"
class_balancing_study,MultinomialNB_no_balance_ratio_0.3,{},4.610726356506348,0.4967162609100342,0.9481000926784059,0.9222690460495339,0.9339357429718875,0.9279121927940825,,0.9418189036428439,0.006800169507562532,0.9093550344950073,0.010651649564405587,0.9336871067495308,0.009276276747566486,0.9204954297288637,0.009019391980353453,0.975759362818685,0.005126879001540965,MultinomialNB,no_balance,0.3,"Counter({np.int64(0): 3319, np.int64(1): 995})"
class_balancing_study,RandomForest_balanced_ratio_0.3,{},5.381946086883545,0.48703503608703613,0.9768303985171455,0.9718470136358699,0.9624497991967871,0.9670432512275549,,0.9789837246462143,0.002701006440032768,0.97192080760025,0.004453637046554359,0.9687480566436831,0.004819553073647848,0.9702897876296287,0.0038376744922488555,0.9970245352283111,0.0008060188253877523,RandomForest,balanced,0.3,"Counter({np.int64(0): 3319, np.int64(1): 995})"
