experiment,model,best_params,training_time,prediction_time,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_ovr,cv_test_accuracy,cv_test_accuracy_std,cv_test_precision_macro,cv_test_precision_macro_std,cv_test_recall_macro,cv_test_recall_macro_std,cv_test_f1_macro,cv_test_f1_macro_std,cv_test_roc_auc_ovr,cv_test_roc_auc_ovr_std,preprocessing,vectorization
preprocessing_study,minimal_tfidf_unigram,{},4.861455917358398,0.30637073516845703,0.9834437086092715,0.9794505787051709,0.9821890737553388,0.9808034579201628,,0.9777087646652863,0.003944025414004019,0.9747764656792053,0.005291490505250374,0.9733842663283749,0.004658544372016477,0.9740424956795178,0.00457118550586876,0.997965065275409,0.0006539987120146642,minimal,tfidf_unigram
preprocessing_study,minimal_tfidf_bigram,{},8.891578197479248,0.5412678718566895,0.9809602649006622,0.9768936833319051,0.978941161471282,0.9779082313783581,,0.981159420289855,0.0034271108400096935,0.9777077351833817,0.003933156396507038,0.9785391448078796,0.004461764998431348,0.9781063257139837,0.003993177921760763,0.9983466102535516,0.000499084025104377,minimal,tfidf_bigram
preprocessing_study,minimal_count_unigram,{},4.142215728759766,0.29870033264160156,0.9850993377483444,0.9813648061052445,0.9841142347166444,0.9827231121281464,,0.9789510006901313,0.004012268282608326,0.9761564324077197,0.005199597068825774,0.9748867113147549,0.004773078143766093,0.975490647802704,0.004670225516291901,0.9977977058177631,0.0007869946271348697,minimal,count_unigram
preprocessing_study,minimal_count_bigram,{},7.081944227218628,0.5458276271820068,0.984271523178808,0.9813791610835447,0.9820711417096959,0.9817241211820079,,0.9824016563146998,0.003703632260869203,0.9793097935279353,0.004293861464232031,0.9798028647128525,0.004655651033593765,0.9795427915697699,0.004313931358852445,0.998378113640701,0.0006140624941299076,minimal,count_bigram
preprocessing_study,minimal_word2vec_skipgram,{},91.67054295539856,0.4518446922302246,0.9718543046357616,0.9685556367740032,0.9658315802894116,0.9671772708674304,,0.9717736369910283,0.004415760737900995,0.9708915827303024,0.0057955174572255535,0.963238253192875,0.005203708567239754,0.9669114919792708,0.005164327361640892,0.9947819344788393,0.001726775903031693,minimal,word2vec_skipgram
preprocessing_study,minimal_word2vec_large,{},35.52730846405029,0.4592094421386719,0.9776490066225165,0.9749963985594238,0.9729298144960796,0.9739538538569714,,0.9749482401656314,0.003167092865585584,0.9722226631785289,0.004425133665878591,0.9694528367216787,0.0040943773320730355,0.9707827613425374,0.0036979874412447805,0.9962309433149071,0.0009470545665587945,minimal,word2vec_large
preprocessing_study,standard_tfidf_unigram,{},4.017439842224121,0.42843174934387207,0.9850993377483444,0.9813648061052445,0.9841142347166444,0.9827231121281464,,0.9772256728778468,0.0035257528707922244,0.9737458646801425,0.004908713819348932,0.9733331416417179,0.004057233649127641,0.9735079638537131,0.0040809609657414155,0.9976424827836378,0.0006853450596283156,standard,tfidf_unigram
preprocessing_study,standard_tfidf_bigram,{},6.8943517208099365,0.5843250751495361,0.9809602649006622,0.9768936833319051,0.978941161471282,0.9779082313783581,,0.9808833678398897,0.004155712689392573,0.9773329684325934,0.0048276166717556345,0.9782769985801367,0.005174779631142895,0.977788318062938,0.004838769537733717,0.9980325588505721,0.0009524157524231321,standard,tfidf_bigram
preprocessing_study,standard_count_unigram,{},3.6851165294647217,0.4243183135986328,0.984271523178808,0.9807275450907209,0.9827914833938931,0.9817502780951654,,0.9783988957902001,0.004015827888468248,0.9754077810726108,0.005048212230740622,0.9743643159511116,0.005060802877747552,0.9748511804032165,0.004678957703485419,0.9973705829074511,0.0009216756212568135,standard,count_unigram
preprocessing_study,standard_count_bigram,{},6.078190326690674,0.5867362022399902,0.9826158940397351,0.9781802357781471,0.9815866641167845,0.9798579544326713,,0.9826086956521738,0.004617178380587372,0.979752128985646,0.005806269330464544,0.9798342110015547,0.005110624808149157,0.9797811762983349,0.005348335922461393,0.9982832537106344,0.0006150043178743363,standard,count_bigram
preprocessing_study,standard_word2vec_skipgram,{},71.5060544013977,0.6462380886077881,0.9793046357615894,0.9776131383345908,0.974134633773188,0.975848018457872,,0.9757763975155278,0.004014641703864462,0.9730960039404831,0.004122122710808574,0.9704776362114763,0.005863260819505902,0.971742353693588,0.0047421599061466015,0.9963045080173896,0.0014316422647467483,standard,word2vec_skipgram
preprocessing_study,standard_word2vec_large,{},34.553489208221436,0.6644706726074219,0.9768211920529801,0.9730477465417224,0.9730477465417224,0.9730477465417224,,0.9742581090407177,0.004223918218937009,0.9712220138303704,0.005373521582151023,0.9688301768734918,0.004994504830661114,0.969990049780895,0.004913559121876533,0.9956213933601167,0.001733661527424939,standard,word2vec_large
preprocessing_study,aggressive_tfidf_unigram,{},22.4265558719635,3.852797746658325,0.9809602649006622,0.9768936833319051,0.978941161471282,0.9779082313783581,,0.9771566597653556,0.003575385465007202,0.97415679903572,0.0043787480411560725,0.972682364653418,0.004541379372369831,0.9733928930494086,0.004162107716950321,0.9974379432564183,0.0007287849853958309,aggressive,tfidf_unigram
preprocessing_study,aggressive_tfidf_bigram,{},25.247861623764038,3.985670804977417,0.9809602649006622,0.9768936833319051,0.978941161471282,0.9779082313783581,,0.9801242236024845,0.004057125867963862,0.9763811121643318,0.004809650654904366,0.9774851089607565,0.00509058626687944,0.97691101996449,0.0047252354842687175,0.9981358179936511,0.0007863219958153536,aggressive,tfidf_bigram
preprocessing_study,aggressive_count_unigram,{},23.632341623306274,3.7066524028778076,0.9834437086092715,0.9807483903869445,0.9807483903869445,0.9807483903869445,,0.9792270531400966,0.003990843973720056,0.9766959914362949,0.005096457574784347,0.9749706712086542,0.004820828994947634,0.9758006136736397,0.004639254458816188,0.9973690315950373,0.0008986410564963709,aggressive,count_unigram
preprocessing_study,aggressive_count_bigram,{},24.280869245529175,3.973229169845581,0.9834437086092715,0.9807483903869445,0.9807483903869445,0.9807483903869445,,0.9828157349896481,0.003924656234123651,0.9798595797419127,0.005051278724807359,0.9802251470272566,0.004362557368867347,0.9800272397784148,0.0045411655797736785,0.9981781986212434,0.0007501800857795052,aggressive,count_bigram
preprocessing_study,aggressive_word2vec_skipgram,{},87.21743822097778,4.068488359451294,0.9784768211920529,0.9756290916530278,0.9742525658188308,0.9749367193659488,,0.9750172532781227,0.004612017790642818,0.9725651575133465,0.004383101030451648,0.9692004195047264,0.006861516747375023,0.970826737539983,0.005477053312525249,0.9959622521068204,0.0016147627239057303,aggressive,word2vec_skipgram
preprocessing_study,aggressive_word2vec_large,{},50.31324791908264,3.9450953006744385,0.9817880794701986,0.9788232294256392,0.9788232294256392,0.9788232294256392,,0.9750862663906142,0.003305432716308644,0.972655857193017,0.004042539805078091,0.9693131932692273,0.004762393137390112,0.9709215936610166,0.003891044078168764,0.996086483269538,0.001851649926208122,aggressive,word2vec_large
preprocessing_study,custom_tfidf_unigram,{},23.771954774856567,4.005687236785889,0.984271523178808,0.9807275450907209,0.9827914833938931,0.9817502780951654,,0.9770876466528641,0.003815120762204362,0.974224426101914,0.004936034232921706,0.9724504862032842,0.004592463795730205,0.9733055309190902,0.0044494265467944225,0.9977927518414855,0.0007922468457843591,custom,tfidf_unigram
preprocessing_study,custom_tfidf_bigram,{},26.7049503326416,4.243891716003418,0.9826158940397351,0.9794567635610186,0.9801459807483903,0.9798003444643246,,0.9816425120772948,0.003283748034056684,0.9781164373852571,0.004608264514127872,0.9793111189074228,0.003681999089897147,0.9786826093504538,0.0037944741851994195,0.9982108836691267,0.0006525844767315066,custom,tfidf_bigram
preprocessing_study,custom_count_unigram,{},23.75880002975464,4.12212610244751,0.9826158940397351,0.9788106142113131,0.9808663224325875,0.9798292547367617,,0.9782608695652174,0.0044243810696548355,0.9756606209826312,0.005418042480266071,0.973723876907162,0.005244980843626151,0.9746676773323316,0.005154224261976903,0.9975103319613106,0.0009666604525075999,custom,count_unigram
preprocessing_study,custom_count_bigram,{},25.880958557128906,4.292839527130127,0.9834437086092715,0.9807483903869445,0.9807483903869445,0.9807483903869445,,0.9823326432022083,0.005049760698392465,0.9797056262868448,0.006092077532313681,0.9792129150293023,0.00589123240763686,0.9794452013702507,0.005862902036795007,0.998275886216619,0.0007213913693674963,custom,count_bigram
preprocessing_study,custom_word2vec_skipgram,{},93.31930184364319,4.261592149734497,0.9776490066225165,0.9743350346487406,0.9736501561802766,0.9739915713425646,,0.9740510697032435,0.0035953116018305436,0.972815263684398,0.003950422129540452,0.9666354023611515,0.005064316904163497,0.9696204512620821,0.004252237673754113,0.9964851701817541,0.0013158181809435434,custom,word2vec_skipgram
preprocessing_study,custom_word2vec_large,{},52.844451665878296,4.358893871307373,0.9743377483443708,0.970479145320425,0.9697998342576656,0.9701384708007225,,0.9749482401656315,0.004378935011515617,0.9728578001028629,0.005149660704549332,0.9687313201633468,0.005582856910985827,0.9707367174512783,0.0051497672468355914,0.9965002745103396,0.0013534325466661758,custom,word2vec_large
